External_ID_Vod_c,Name,Mission_c,Website,POL_KOL_Phone_C,POL_KOL_Email_C,Organization_Type_c,Latest990_C,KRM_Legal_Entity_c,Total_Revenue_000_c,KRM_CHANGE_STATUS_C,KRM_CHANGE_DATE_C,RECORDTYPEID,LASTNAME,FIRSTNAME,SALUTATION,EXTERNAL_ID_VOD_C,MIDDLE_VOD_C,SUFFIX_VOD_C,KOL_CREDENTIALS_OLR_C,City_vod_c,Country_vod_c,Zip_vod_c,State_vod_c,Address_line_2_vod_c,External_Id_Vod_c,EIN,Account_Vod_C,Leader_Name,FROM_ACCOUNT_VOD_C,ROLE_VOD_C,TO_ACCOUNT_VOD_C
351813852,3901 N Meridian St,Our mission is: black men giving real time to positively impact the development of youth in our communities.,www.100blackmenindy.org,317-921-1276,input@100blackmenindy.org,O50 - Youth Development,2019,501(c)(3),921961,Published,3/10/2020,01203000000CijdAAC,Enders,Murvin,Mr,MURVIN ENDERS-351813852-EXECUTIVE DIRECTOR,,,,Indianapolis,United States,46208,IN,Ste 10,EIN-351813852,351813852,,MURVIN ENDERS-351813852-EXECUTIVE DIRECTOR,,Executive Director,
561979671,2234 Colonial Boulevard,"The mission of 21st century care is to achieve its vision by providing cancer education at the community level to patients, cancer care providers and the general public, to conduct cancer research, and to provide financial assistance to cancer patients in need.",www.21stcenturycare.org,888-850-1622,,E80 - HealthGeneral & Rehabilitative,2018,501(c)(3),297255,Published,3/10/2020,01203000000CijdAAC,Tolentino,Kathy,Ms,KATHY TOLENTINO-561979671-UNAVAILABLE,,,MS,Fort Myers,United States,33907,FL,,EIN-561979671,561979671,,KATHY TOLENTINO-561979671-UNAVAILABLE,,UNAVAILABLE,
237173492,253 West 35th Street,"A better chance seeks to increase substantially the number of well-educated young people of color who are capable of assuming positions of responsibility and leadership in american society. this is done by facilitating their entry into independent college preparatory schools. through its network of member schools, a better chance is able to leverage an estimated $20+ million per year in financial aid for talented, economically disadvantaged youth of color. more than 96% of a better chance's graduates go on to college directly after high school, a majority entering our country's most selective colleges.",www.abetterchance.org,646-346-1310,,B25 - Educational Institutions,2018,501(c)(3),3791237,Published,3/10/2020,01203000000CijdAAC,Tezen,Francisco,Mr,FRANCISCO TEZEN-237173492-UNAVAILABLE,,,,New York,United States,10001,NY,6th Floor,EIN-237173492,237173492,,FRANCISCO TEZEN-237173492-UNAVAILABLE,,UNAVAILABLE,
530196568,1200 New York Ave NW,"The aaas seeks to ""advance science, engineering, and innovation throughout the world for the benefit of all people."" to fulfill this mission, the aaas board has set the following broad goals:

1. enhance communication among scientists, engineers, and the public;
2. promote and defend the integrity of science and its use;
3. strengthen support for the science and technology enterprise;
4. provide a voice for science on societal issues;
5. promote the responsible use of science in public policy;
6. strengthen and diversify the science and technology workforce;
7. foster education in science and technology for everyone;
8. increase public engagement with science and technology; and
9. advance international cooperation in science.",www.aaas.org,202-326-6400,,U20 - Science and Technology Research Institutes,2018,501(c)(3),105280157,Published,3/10/2020,01203000000CijdAAC,Holt,Rush,Dr,RUSH HOLT-530196568-UNAVAILABLE,,,,Washington,United States,20005,DC,,EIN-530196568,530196568,,RUSH HOLT-530196568-UNAVAILABLE,,UNAVAILABLE,
390977801,900 7th St NW Ste 400,"Aacc is a leading professional society dedicated to improving health and healthcare through laboratory medicine. its nearly 8,000 members are clinical laboratory professionals, physicians, research scientists, and others involved in developing tests and directing laboratory operations. aacc brings this community together with programs that advance knowledge, expertise and innovation. aacc is best known for the respected scientific journal clinical chemistry, the award winning patient-centered website lab tests online, and the world's largest conference in laboratory medicine and technology. through these and other programs, aacc provides global leadership in advancing the practice and profession of clinical laboratory science and medicine.",www.aacc.org,202-857-0717,,"U33 - Science and Technology Research Institutes, Services",2018,501(c)(3),23301516,Published,3/10/2020,01203000000CijdAAC,Kreizman,Janet,,JANET KREIZMAN-390977801-UNAVAILABLE,,,MA,Washington,United States,20001-5329,DC,,EIN-390977801,390977801,,JANET KREIZMAN-390977801-UNAVAILABLE,,UNAVAILABLE,
274379275,901 North Glebe St ,"Mission: reductions in preventable patient harm and improvements in outcomes with complex health technology - preventable patient deaths is third leading cause of death in the united states (estimate is 200,000 deaths per year).  aamif strives to eliminate those that involve the use of complex health technology.",aamifoundation.org,703-525-4890,,"W05 - Public, Society Benefit",2018,501(c)(3),87222,Published,3/10/2020,01203000000CijdAAC,Emery,Christine,,CHRISTINE EMERY-274379275-UNAVAILABLE,,,PHD,Arlington,United States,22203,VA,Suite 300,EIN-274379275,274379275,,CHRISTINE EMERY-274379275-UNAVAILABLE,,UNAVAILABLE,
231352000,1900 Benjamin Franklin Pkwy,"The academy of natural sciences of drexel university is dedicated to advancing research, education, and public engagement in biodiversity and environmental science.",www.ansp.org,215-299-1000,,U30 - Science and Technology Research Institutes,2018,501(c)(3),23774475,Published,3/10/2020,01203000000CijdAAC,Cooper,Scott,Dr,SCOTT COOPER-231352000-UNAVAILABLE,,,OT,Philadelphia,United States,19103,PA,,EIN-231352000,231352000,,SCOTT COOPER-231352000-UNAVAILABLE,,UNAVAILABLE,
571019604,15490 101st Ave N Ste 100,"Founded in 1982, the academy of surgical research promotes the advancement of professional and academic standards, education and research in the arts and sciences of experimental surgery.",http://www.surgicalresearch.org/,952-835-4180,,"U99 - Science and Technology Research Institutes, Services",2018,501(c)(3),188943,Published,3/10/2020,01203000000CijdAAC,Sheehan,Jennifer,,JENNIFER SHEEHAN-571019604-UNAVAILABLE,,,,Maple Grove,United States,55369-2227,MN,,EIN-571019604,571019604,,JENNIFER SHEEHAN-571019604-UNAVAILABLE,,UNAVAILABLE,
870742927,6011 Telephone Road,"Driving cancer awareness and prevention through education, early detection, capacity building, and treatment, leading to improved survival and healthy communities",www.acecancercareinc.org,713-995-8000,,"G30 - Disease, Disorders, Medical Disciplines",2018,501(c)(3),37783,Published,3/10/2020,01203000000CijdAAC,Iwuanyanwu,Iwuanyanwu,Dr,IWUANYANWU IWUANYANWU-870742927-UNAVAILABLE,,,,Houston,United States,77087,TX,,EIN-870742927,870742927,,IWUANYANWU IWUANYANWU-870742927-UNAVAILABLE,,UNAVAILABLE,
272116493,6265 Sheridan Dr Ste 104,Education and support for acromegaly patients,,,,B83 - Education,2018,501(c)(3),,Published,3/10/2020,01203000000CijdAAC,,,,NAN NAN-272116493-UNAVAILABLE,,,,Buffalo,United States,14221-4826,NY,,EIN-272116493,272116493,,NAN NAN-272116493-UNAVAILABLE,,UNAVAILABLE,
812404357,1100 E Woodfield Rd,"The advanced urology institute education and general fund's mission is to a advance, foster, encourage and promote the study and application of urology b develop and provide information and resources relevant to the advancement of the field of urology c provide a forum for the exchange of ideas among scholars, researchers, and practitioners about urology and develop strategies on issues critical to the advancement of the field in this area of specialty d advance the field of urology to the highest state of innovation, resourcefulness, and preparation for those professionals practicing in the field of urology and e perform any and all acts as are necessary, convenient and proper for the attainment of these purposes.",,847-517-7225,,"S41 - Community Improvement, Capacity Building",2019,501(c)(3),324215,Published,3/10/2020,01203000000CijdAAC,Sellinger,Scott,,SCOTT SELLINGER-812404357-UNAVAILABLE,,,"OT, FACS",Schaumburg,United States,60173-5116,IL,,EIN-812404357,812404357,,SCOTT SELLINGER-812404357-UNAVAILABLE,,UNAVAILABLE,
262525968,3075 Highland Pkwy Fl 6,"The mission is to serve the health needs of individuals, families and communities through a wholistic philosophy rooted in our fundamental understanding of human beings as created in the image of god.",www.advocatehealth.com,630-572-9393,,E20 - Health -- General and Rehabilitative,2018,501(c)(3),474432912,Published,3/10/2020,01203000000CijdAAC,Doheny,James,,JAMES DOHENY-262525968-UNAVAILABLE,,,DO,Downers Grove,United States,60515-5563,IL,,EIN-262525968,262525968,,JAMES DOHENY-262525968-UNAVAILABLE,,UNAVAILABLE,
363196629,3075 Highland Pkwy Fl 6,"The mission of advocate aurora health is to serve the health needs of individuals, families and communities through a wholistic philosophy rooted in our fundamental understanding of human beings as created in the image of god.",www.advocatehealth.com,630-929-5543,,E21 - Health -- General and Rehabilitative,2018,501(c)(3),726086514,Published,3/10/2020,01203000000CijdAAC,Lopez,Susan,,SUSAN LOPEZ-363196629-UNAVAILABLE,,,,Downers Grove,United States,60515-5563,IL,,EIN-363196629,363196629,,SUSAN LOPEZ-363196629-UNAVAILABLE,,UNAVAILABLE,
135613797,7272 Greenville Avenue,"The american heart association's mission is to be a relentless force for a world of longer, healthier lives. 
founded in 1924, our organization now includes more than 40 million volunteers and supporters. we fund innovative research, fight for stronger public health policies, and provide critical tools and information to save and improve lives.",http://www.heart.org/,,,"G43 - Disease, Disorders, Medical Disciplines",2019,501(c)(3),746432389,Published,3/10/2020,01203000000CijdAAC,Brown,Nancy,,NANCY BROWN-135613797-CEO,,,,Dallas,United States,75231,TX,,EIN-135613797,135613797,,NANCY BROWN-135613797-CEO,,CEO,
222707246,75 Amory Street,"The mission of aids action committee is to stop the aids epidemic and related health inequities by eliminating new infections, maximizing healthier outcomes of those infected and at risk, and attacking the root causes of hiv/aids.   to achieve this mission aac provides services to the individual and addresses the root causes of the epidemic.",http://www.aac.org,617-437-6200,jvanheugten@aac.org,"G81 - Disease, Disorders, Medical Disciplines",2019,501(c)(3),7959657,Published,3/10/2020,01203000000CijdAAC,Sciortino,Carl,Mr,CARL SCIORTINO-222707246-UNAVAILABLE,,,,Boston,United States,02119-0026,MA,,EIN-222707246,222707246,,CARL SCIORTINO-222707246-UNAVAILABLE,,UNAVAILABLE,
223014883,110 Bartholomew Ave Ste 3050,"Aids connecticut (act), in partnership with its member agencies, improves the lives of people impacted by hiv through care and supportive services, housing, advocacy and prevention.",www.act-ct.org,860-247-2437,,"G81 - Disease, Disorders, Medical Disciplines",2019,501(c)(3),6524451,Published,3/10/2020,01203000000CijdAAC,Merz,John,,JOHN MERZ-223014883-UNAVAILABLE,,,,Hartford,United States,06106,CT,,EIN-223014883,223014883,,JOHN MERZ-223014883-UNAVAILABLE,,UNAVAILABLE,
630363485,PO Box 1900,To promote medical profession,,,,E03 - Health -- General and Rehabilitative,2018,501(c)(3),536391,Published,3/10/2020,01203000000CijdAAC,Arrington,Jeffrey,,JEFFREY ARRINGTON-630363485-UNAVAILABLE,,,,Montgomery,United States,36102-1900,AL,,EIN-630363485,630363485,,JEFFREY ARRINGTON-630363485-UNAVAILABLE,,UNAVAILABLE,
262900861,550m Ritchie Hwy # 271,"To serve as a sustainable inclusive representative body of all providers of cancer medicine in the state of alabama - promoting education, advocacy and sense of community.",www.alcancercongress.org,256-801-3014,,"G30 - Diseases, Disorders, Medical Disciplines",2018,501(c)(3),351665,Published,3/10/2020,01203000000CijdAAC,Sorensen,Roberta,,ROBERTA SORENSEN-262900861-UNAVAILABLE,,,,Severna Park,United States,21146-2925,MD,,EIN-262900861,262900861,,ROBERTA SORENSEN-262900861-UNAVAILABLE,,UNAVAILABLE,
631058645,PO Box 43212,"The alabama chapter of the american college of cardiology is improving heart health through continuing medical education, continuous quality improvement, patient-centered care, professionalism, and the influence of health care policy.",www.alacc.org,205-972-8510,,"G43 - Diseases, Disorders, Medical Disciplines",2019,501(c)(3),208376,Published,3/10/2020,01203000000CijdAAC,Smith,Christina,,CHRISTINA SMITH-631058645-UNAVAILABLE,,,,Birmingham,United States,35243-0212,AL,,EIN-631058645,631058645,,CHRISTINA SMITH-631058645-UNAVAILABLE,,UNAVAILABLE,
630798492,19 S Jackson St,"The mission of the alabama chapter of the american academy of pediatrics is to obtain optimal health and well-being for all children in alabama, and to provide educational and practice support for its membership so the highest quality of medical care can be achieved.",www.alchapaap.org,334-954-2543,llee@aap.net,"G98 - Diseases, Disorders, Medical Disciplines",2019,501(c)(3),564716,Published,3/10/2020,01203000000CijdAAC,Lee,Linda,Mr,LINDA LEE-630798492-UNAVAILABLE,,,,Montgomery,United States,36104,AL,,EIN-630798492,630798492,,LINDA LEE-630798492-UNAVAILABLE,,UNAVAILABLE,
631023035,PO Box 450,"Aoma strives to elevate and maintain the high quality standards of the osteopathic profession by providing quality educational programs for its members, adhering to the strictest code of ethics for the profession, and supporting osteopathic medical training programs.",,,,"J03 - Employment, Job Related",2018,501(c)(3),,Published,3/10/2020,01203000000CijdAAC,Ulrich,Russell,Dr,RUSSELL ULRICH-631023035-UNAVAILABLE,,,,Piedmont,United States,36272-0450,AL,,EIN-631023035,631023035,,RUSSELL ULRICH-631023035-UNAVAILABLE,,UNAVAILABLE,
630788514,PO Box 1900,The purpose of the society is to maintain the highest professional standard for the practice of allergy and immunology. to promote and sustain the health of the citizens of alabama. to advance the knowledge of allergy and immunology and to study the social and economic aspects of the practice of allergy and immunology.,,,,"S41 - Community Improvement, Capacity Building",2019,501(c)(3),,Published,3/10/2020,01203000000CijdAAC,,,,NAN NAN-630788514-UNAVAILABLE,,,,Montgomery,United States,36102-1900,AL,,EIN-630788514,630788514,,NAN NAN-630788514-UNAVAILABLE,,UNAVAILABLE,
742692725,PO Box 780067,"The alamo breast cancer foundation (abcf) is a grassroots advocacy, educational, and support organization established for women and men with breast cancer and for those concerned about breast cancer issues. our over all mission is to end breast cancer by assisting patients, informing policymakers and expanding knowledge through education and community outreach.",alamobreastcancer.org,210-431-4415,,E70 - Health -- General and Rehabilitative,2018,501(c)(3),308340,Published,3/10/2020,01203000000CijdAAC,Grabow,Rose,,ROSE GRABOW-742692725-UNAVAILABLE,,,MA,San Antonio,United States,78278-0067,TX,,EIN-742692725,742692725,,ROSE GRABOW-742692725-UNAVAILABLE,,UNAVAILABLE,
943143226,1601 W Nrthrn Lts Blvd  Anchorage Ak 99508-5229,"To inform and educate the public about hemophilia and other inherited bleeding disorders, and to provide educational and support services for alaskans living with hemophilia and other inherited bleeding disorders.",www.alaskahemophilia.com,907-343-9232,,Z99 - Unknown,2019,501(c)(3),203807,Published,3/10/2020,01203000000CijdAAC,Palmatier,John,,JOHN PALMATIER-943143226-UNAVAILABLE,,,"PA, MA",Anchorage,United States,99517,AK,,EIN-943143226,943143226,,JOHN PALMATIER-943143226-UNAVAILABLE,,UNAVAILABLE,
814555870,PO Box 231131,"The corporation is organized and operated exclusively to receive, administer, and expend funds to promote and represent the common professional interests of, and improve the conditions of medical practice among rheumatology practitioners in alaska. the purpose of the corporation is to improve qualilty of care; to promote the interchange of ideas, information and experience pertaining to the practice of rheumatology; to increase the awareness of the value rheumatologists bring to the community and profession; to raise working conditions surrounding the field of rheumatology; to foster educational programs regarding rheumatology for physicians, paramedical persons and lay people; and to do everything necessary, proper or advisable for the accomplishment of these purposes.",www.alaskarheumatology.org,,,"G03 - Diseases, Disorders, Medical Disciplines",2018,501(c)(3),,Published,3/10/2020,01203000000CijdAAC,Botson,John,,JOHN BOTSON-814555870-UNAVAILABLE,,,OT,Anchorage,United States,99523-1131,AK,,EIN-814555870,814555870,,JOHN BOTSON-814555870-UNAVAILABLE,,UNAVAILABLE,
660495492,PO Box 195112,Please see attached mission statement on schedule o,www.alianzaprsindrogas.org,787-759-9489,,P50 - Human Services -- Multipurpose and Other,2019,501(c)(3),463443,Published,3/10/2020,01203000000CijdAAC,,,,NAN NAN-660495492-UNAVAILABLE,,,,San Juan,United States,00919-5112,PR,,EIN-660495492,660495492,,NAN NAN-660495492-UNAVAILABLE,,UNAVAILABLE,
474293491,148,"Alianzas de phoenixville's mission is to equip & enhance the latino/hispanic community with improved access to local resources, advocacy, leadership opportunities and intentional intercultural exchanges between the latino/hispanic and broader communities.",,610-933-9200,,,2018,501(c)(3),,Published,3/10/2020,01203000000CijdAAC,Guzman,Nina,,NINA GUZMAN-474293491-UNAVAILABLE,,,MA,Phoenixville,United States,19460,PA,Church St.,EIN-474293491,474293491,,NINA GUZMAN-474293491-UNAVAILABLE,,UNAVAILABLE,
250969492,30 Isabella St,"West penn allegheny health system, inc isa team of care givers committed to improving health and promoting wellness in our communities, one person at a time it pledges to consistently deliver safe, compassionate quality healthcare by treating the whole person - body, mind and spirit",www.ahn.org,412-544-6668,,E22 - Health -- General and Rehabilitative,2014,501(c)(3),1378645187,Published,3/10/2020,01203000000CijdAAC,Paul,John,,JOHN PAUL-250969492-UNAVAILABLE,,,PA,Pittsburgh,United States,15212-5862,PA,,EIN-250969492,250969492,,JOHN PAUL-250969492-UNAVAILABLE,,UNAVAILABLE,
273080023,132 Westpark Blvd,,scallergists.com,,,"G90 - Diseases, Disorders, Medical Disciplines",0,501(c)(3),,Published,3/10/2020,01203000000CijdAAC,Speir,Allison,,ALLISON SPEIR-273080023-UNAVAILABLE,,,,Columbia,United States,29210-3856,SC,,EIN-273080023,273080023,,ALLISON SPEIR-273080023-UNAVAILABLE,,UNAVAILABLE,
541379174,1700 K St. NW,The alliance for aging research is the leading nonprofit organization dedicated to accelerating the pace of scientific discoveries and their application to vastly improve the universal human experience of aging and health. ,http://www.agingresearch.org/,202-293-2856,,H94 - Medical Research,2018,501(c)(3),2609744,Published,3/10/2020,01203000000CijdAAC,Peschin,Susan,,SUSAN PESCHIN-541379174-EXECUTIVE,,,,Washington,United States,20006,DC,Suite 740,EIN-541379174,541379174,,SUSAN PESCHIN-541379174-EXECUTIVE,,Executive,
270486705,1015 18th St NW,See schedule o,www.alliancerm.org,202-419-2515,,H01 - Medical Research,2018,501(c)(3),5089429,Published,3/10/2020,01203000000CijdAAC,Lambert,Janet,,JANET LAMBERT-270486705-UNAVAILABLE,,,,Washington,United States,20036-5203,DC,,EIN-270486705,270486705,,JANET LAMBERT-270486705-UNAVAILABLE,,UNAVAILABLE,
363261413,PO Box 43,"Our missionwe serve our communities by providing exceptional care, as we prevent illness, restore health and provide comfort to all who entrust us with their care.our visionwe will: put the patient first; make a difference in peoples lives by providing exceptional care and service; create a healing environment where passionate people thrive and excel; and lead collaborative efforts that solve our community's health care challenges.our valuesintegrity, respect, trust, compassion and stewardship",www.allinahealth.org,612-262-0660,,E21 - Health -- General and Rehabilitative,2018,501(c)(3),4563320184,Published,3/10/2020,01203000000CijdAAC,Wheeler,Penny,,PENNY WHEELER-363261413-UNAVAILABLE,,,,Minneapolis,United States,55440-0043,MN,,EIN-363261413,363261413,,PENNY WHEELER-363261413-UNAVAILABLE,,UNAVAILABLE,
132584273,The Joan Weill Center for Dance,"The mission of the alvin ailey dance foundation is to further the pioneering work of alvin ailey by establishing an extended cultural community which provides dance performances, training, and community programs for all people. as important as its artistic and educational mission, this performing arts community plays a social role, using the beauty and humanity of the african-american heritage and other cultures to unite people of all races, ages and backgrounds.",www.alvinailey.org,212-405-9000,supportailey@alvinailey.org,"A62 - Arts, Culture, and Humanities",2019,501(c)(3),48602296,Published,3/10/2020,01203000000CijdAAC,Luckman,Sharon,Ms,SHARON LUCKMAN-132584273-EXECUTIVE DIRECTOR,,,"MS, MA",New York,United States,10019,NY,405 W 55th Street,EIN-132584273,132584273,,SHARON LUCKMAN-132584273-EXECUTIVE DIRECTOR,,Executive Director,
133039601,225 North Michigan Avenue,"The alzheimer's association leads the way to end alzheimer's and all other dementia  by accelerating global research, driving risk reduction and early detection, and maximizing quality care and support. a world without alzheimer's and all other dementia.",www.alz.org,312-335-8700,,"G83 - Disease, Disorders, Medical Disciplines",2019,501(c)(3),389665878,Published,3/10/2020,01203000000CijdAAC,Johns,Harry,Mr,HARRY JOHNS-133039601-CEO,,,,Chicago,United States,60601,IL,Suite 1700,EIN-133039601,133039601,,HARRY JOHNS-133039601-CEO,,CEO,
133277408,360 Lexington Avenue. 3rd Fl.,"The mission of caringkind, the heart of alzheimer's caregiving (formerly known as alzheimer's association, new york city chapter) is to create, deliver, and promote comprehensive and compassionate care and support services for individuals and families affected by alzheimer's disease and related dementias, and to eliminate alzheimer's disease through the advancement of research. we achieve our mission by providing programs and services for individuals with dementia, their family and professional caregivers; increasing public awareness; collaborating with research centers; and informing public policy through advocacy.",www.caringkindnyc.org,646-744-2900,,"G83 - Disease, Disorders, Medical Disciplines",2019,501(c)(3),6287532,Published,3/10/2020,01203000000CijdAAC,Levine,Jed,Mr,JED LEVINE-133277408-CEO,,,,New York City,United States,10017,NY,,EIN-133277408,133277408,,JED LEVINE-133277408-CEO,,CEO,
237371200,2821 Emerywood Pkwy # 20,"To be the leading authority, advocate & voice for the health of virginia's children & for the profession of pediatrics",www.virginiapediatrics.org,804-643-6631,,"G90 - Diseases, Disorders, Medical Disciplines",2019,501(c)(3),235888,Published,3/10/2020,01203000000CijdAAC,Chappell,Jane,,JANE CHAPPELL-237371200-UNAVAILABLE,,,,Henrico,United States,23294-3726,VA,,EIN-237371200,237371200,,JANE CHAPPELL-237371200-UNAVAILABLE,,UNAVAILABLE,
223091024,200 Canal View Blvd Ste 202,Health for all infants and children,ny1aap.org,585-244-3773,,"G98 - Diseases, Disorders, Medical Disciplines",2019,501(c)(3),262937,Published,3/10/2020,01203000000CijdAAC,Lewis,Edward,,EDWARD LEWIS-223091024-UNAVAILABLE,,,,Rochester,United States,14623-2809,NY,,EIN-223091024,223091024,,EDWARD LEWIS-223091024-UNAVAILABLE,,UNAVAILABLE,
270567765,1747 Pennsylvania Ave NW Ste 5,"Aaf is dedicated to broad, public education on domestic and economic issues, using modern communication tools to engage the public and propose policy solutions. it engages in policy research based on data and provides commentary on domestic economic policy ideas.",www.americanactionforum.org,202-559-6420,,"V05 - Social Science Research Institutes, Services",2018,501(c)(3),3857833,Published,3/10/2020,01203000000CijdAAC,Holtz-eakin,Douglas,,DOUGLAS HOLTZ-EAKIN-270567765-UNAVAILABLE,,,DO,Washington,United States,20006-4604,DC,,EIN-270567765,270567765,,DOUGLAS HOLTZ-EAKIN-270567765-UNAVAILABLE,,UNAVAILABLE,
237373091,1001 North Fairfax Street,"To advance and disseminate the science and practice of hepatology, and to promote liver health and quality patient care

aasld isthe leadingorganization of scientists and healthcare professionals committed to preventing and curing liver disease. aasld was founded in 1950 by a small group of leading liver specialists to bring together those who had contributed to the field of hepatology. 

in 2014, aasld organized the aasld foundation (http://www.aasld.org/foundation) to support liver research and provide education about liver disease and its treatment to those providing care to patients.",http://www.aasldfoundation.org/,703-299-9766,,"G70 - Disease, Disorders, Medical Disciplines",2019,501(c)(3),15226783,Published,3/10/2020,01203000000CijdAAC,D'uva,Matthew,Mr,MATTHEW D'UVA-237373091-UNAVAILABLE,,,MA,Alexandria,United States,22314,VA,4th Floor,EIN-237373091,237373091,,MATTHEW D'UVA-237373091-UNAVAILABLE,,UNAVAILABLE,
510161670,125 S Wacker Dr Ste 600,"Empower diabetes educators to expand the horizons of innovative education, management and support.",www.diabeteseducator.org,312-424-2426,,B03 - Education,2018,501(c)(3),15641358,Published,3/10/2020,01203000000CijdAAC,Kemmisptdptms,Karen,Ms,KAREN KEMMISPTDPTMS-510161670-UNAVAILABLE,,,"MS, DPT",Chicago,United States,60606-4437,IL,,EIN-510161670,510161670,,KAREN KEMMISPTDPTMS-510161670-UNAVAILABLE,,UNAVAILABLE,
